SampleLabel,Date,Location,Trip,Year,Metric,Conc,Units,Notes
TO_C_3.22_PCH_R2,20220819,Topaz,3,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
TO_C_3.22_PCH_R3,20220819,Topaz,3,2022,chlorophylla,0.0056,mg,NA
TO_C_3.22_PCH_R3,20220819,Topaz,3,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_A_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,0.0131,mg,NA
HE_A_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_A_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,0.0413,mg,NA
HE_A_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,4.00E-04,mg_per_cm2,NA
HE_A_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,0.1169,mg,NA
HE_A_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,0.0011,mg_per_cm2,NA
HE_B_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,0.0243,mg,NA
HE_B_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
HE_B_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,0.048,mg,NA
HE_B_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,5.00E-04,mg_per_cm2,NA
HE_B_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,0.0206,mg,NA
HE_B_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
HE_C_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,0.033,mg,NA
HE_C_4.22_PCH_R1,20220916,Heather,4,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
HE_C_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,0.0699,mg,NA
HE_C_4.22_PCH_R2,20220916,Heather,4,2022,chlorophylla,7.00E-04,mg_per_cm2,NA
HE_C_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,0.1697,mg,NA
HE_C_4.22_PCH_R3,20220916,Heather,4,2022,chlorophylla,0.0017,mg_per_cm2,NA
EM_A_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,0.027,mg,NA
EM_A_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
EM_A_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,0.0222,mg,NA
EM_A_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_A_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,0.0568,mg,NA
EM_A_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,6.00E-04,mg_per_cm2,NA
EM_B_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,0.0197,mg,NA
EM_B_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_B_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,0.0193,mg,NA
EM_B_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_B_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,0.0155,mg,NA
EM_B_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_C_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,0.0327,mg,NA
EM_C_4.22_PCH_R1,20220917,Emerald,4,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
EM_C_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,0.0083,mg,NA
EM_C_4.22_PCH_R2,20220917,Emerald,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
EM_C_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,0.0263,mg,NA
EM_C_4.22_PCH_R3,20220917,Emerald,4,2022,chlorophylla,3.00E-04,mg_per_cm2,NA
PE_A_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,0.0189,mg,NA
PE_A_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
PE_A_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,0.0178,mg,NA
PE_A_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
PE_A_4.22_PCH_R3,20220913,Pear,4,2022,chlorophylla,0.0097,mg,NA
PE_A_4.22_PCH_R3,20220913,Pear,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
PE_B_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,0.0055,mg,NA
PE_B_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
PE_B_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,0.0056,mg,NA
PE_B_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
PE_B_4.22_PCH_R3,20220913,Pear,4,2022,chlorophylla,0.0054,mg,NA
PE_B_4.22_PCH_R3,20220913,Pear,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
PE_C_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,0.0128,mg,NA
PE_C_4.22_PCH_R1,20220913,Pear,4,2022,chlorophylla,1.00E-04,mg_per_cm2,NA
PE_C_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,0.0205,mg,NA
PE_C_4.22_PCH_R2,20220913,Pear,4,2022,chlorophylla,2.00E-04,mg_per_cm2,NA
PE_C_4.22_PCH_R3,20220913,Pear,4,2022,chlorophylla,0.0104,mg,NA
